date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:30	18836/18836	---M--	200	added ('OK')	application/octet-stream	etag:%2257606f12-4994%22	https://3dr.com/assets/opensans-regular-webfont-7d35afdf10d2277956b0873079840ac06445909ddc2ac0d5d0424cefcaaa15f9.woff2	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-regular-webfont-7d35afdf10d2277956b0873079840ac06445909ddc2ac0d5d0424cefcaaa15f9.woff2	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:30	24884/24884	---MCZ	200	added ('OK')	application/font-woff	etag:%2257606f12-6134%22	https://3dr.com/assets/opensans-regular-webfont-ea64718c324c9101b52ced05ccf6c13f30372857ad61e0f6c05ec0d6bc7279a3.woff	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-regular-webfont-ea64718c324c9101b52ced05ccf6c13f30372857ad61e0f6c05ec0d6bc7279a3.woff	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:30	45380/45380	---M--	200	added ('OK')	application/octet-stream	etag:%2257606f12-b144%22	https://3dr.com/assets/opensans-regular-webfont-0132f04a1b41936b272be00aa476f2efaaaa7c4332aac9629064d9cd2d0f9d13.ttf	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-regular-webfont-0132f04a1b41936b272be00aa476f2efaaaa7c4332aac9629064d9cd2d0f9d13.ttf	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:31	117811/117811	---MCZ	200	added ('OK')	image/svg+xml	etag:%2257606f12-1cc33%22	https://3dr.com/assets/opensans-regular-webfont-82f991ee859b117d067c179a9a875194a547f4ce390615b3d60957c3ce03c5bd.svg	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-regular-webfont-82f991ee859b117d067c179a9a875194a547f4ce390615b3d60957c3ce03c5bd.svg	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:31	20552/20552	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257606f12-5048%22	https://3dr.com/assets/opensans-light-webfont-5ba8b8e434ee8de7f901a00094d90acacf46624292b3156311de97c6b84eb6f7.eot	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-light-webfont-5ba8b8e434ee8de7f901a00094d90acacf46624292b3156311de97c6b84eb6f7.eot	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:31	20552/20552	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257606f12-5048%22	https://3dr.com/assets/opensans-light-webfont-5ba8b8e434ee8de7f901a00094d90acacf46624292b3156311de97c6b84eb6f7.eot?	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-light-webfont-5ba8b8e434ee8de7f901a00094d90acacf46624292b3156311de97c6b84eb6f7d41d.eot	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:31	18208/18208	---M--	200	added ('OK')	application/octet-stream	etag:%2257606f12-4720%22	https://3dr.com/assets/opensans-light-webfont-8bc2998cf7fc8934ac90468f4488175f8fbaf16d74bed14d71808f222c80d8dc.woff2	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-light-webfont-8bc2998cf7fc8934ac90468f4488175f8fbaf16d74bed14d71808f222c80d8dc.woff2	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:32	24148/24148	---MCZ	200	added ('OK')	application/font-woff	etag:%2257606f12-5e54%22	https://3dr.com/assets/opensans-light-webfont-48bc168b845b707d83112f4082e490f945b8f05d449c221f52032b6963ac35c7.woff	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-light-webfont-48bc168b845b707d83112f4082e490f945b8f05d449c221f52032b6963ac35c7.woff	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:32	44572/44572	---M--	200	added ('OK')	application/octet-stream	etag:%2257606f12-ae1c%22	https://3dr.com/assets/opensans-light-webfont-2a7163b0bc40a3222a3ef7836f435d6363ade1f81eeb22508cca0da47f7b4ff5.ttf	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-light-webfont-2a7163b0bc40a3222a3ef7836f435d6363ade1f81eeb22508cca0da47f7b4ff5.ttf	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
23:14:32	115833/115833	---MCZ	200	added ('OK')	image/svg+xml	etag:%2257606f12-1c479%22	https://3dr.com/assets/opensans-light-webfont-7929982bcf55677e0c85c7ea0cb4c31a3e986035f713d72506e4dedc94ebb4d6.svg	C:/My%20Web%20Sites/redcat/3dr.com/assets/opensans-light-webfont-7929982bcf55677e0c85c7ea0cb4c31a3e986035f713d72506e4dedc94ebb4d6.svg	(from https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css)
